⚙️  Automated Content Operating System — SOPs,,,,,
Daily · Weekly · Monthly workflows across Research → Create → Publish → Community → Track,,,,,
🌅  DAILY WORKFLOW,,,,,
Time,Function,Action,Owner,Tool,Output
7:00 AM,Research,Mandi भाव + agri news + weather check; pick newsjack,Content Lead,"News Bank, Agmarknet",Today's angle locked
8:00 AM,Create,Daily Generator चलाओ → 5 assets बनाओ,Creator,Daily Generator sheet,5 assets drafted
9:00 AM,Visuals,AI Image Library से poster/thumbnail generate,Designer,Ideogram/Canva,Visuals ready
Per schedule,Publish,Best-time slots पर post (देखो Schedule),Publisher,Meta/YT/Buffer,Posts live
Hourly,Community,"हर comment + DM का reply, lead capture",Community Mgr,WhatsApp/IG,"0 unanswered, leads logged"
9:00 PM,Track,आज का reach/saves/clicks KPI Tracker में log,Analyst,KPI Tracker sheet,Daily numbers logged
📆  WEEKLY WORKFLOW,,,,,
Time,Function,Action,Owner,Tool,Output
Mon,Research,"पिछले हफ्ते के top-3 posts analyze, pattern winners निकालो",Strategist,KPI Tracker,Winning patterns list
Mon,Plan,"अगले 7 दिन calendar lock, banks से ideas pull",Content Lead,Master Calendar,Week planned
Tue,Create,Batch shoot 5-7 Reels एक साथ,Creator,Phone/Camera,Week's reels shot
Wed,Create,Carousels + posters batch design,Designer,Canva,Visuals batched
Fri,Publish,YouTube long-form upload (Tue/Fri 5 PM),Publisher,YT Studio,Video live
Sun,Track,"Weekly KPI review, double-down decision",Analyst,KPI Tracker,Next-week priorities
🗓️  MONTHLY WORKFLOW,,,,,
Time,Function,Action,Owner,Tool,Output
Week 1,Research,महीने का theme + 1 बड़ी campaign तय करो,Strategist,All banks,Monthly theme
Week 2,Create,1 hero documentary/success story produce,Creator,Field shoot,Hero asset
Week 3,Analyze,Pattern Prioritization scores refresh (real data),Analyst,KPI + Phase 1,Updated tiers
Week 4,Report,Growth report vs KPI targets; roadmap adjust,Content Lead,Roadmap sheet,Monthly report
Ongoing,Bank refill,"इस्तेमाल हुए ideas hat‍ाओ, banks में 50 नए जोड़ो",Content Lead,Content Banks,Banks topped up
