🎯  Viral Hook Library — 120 Hooks (पहले 3 सेकंड),,,,,
हर pattern के 6 hooks। {crop}/{region}/{n}/{scheme}/{lang} को आज के topic से replace करो।,,,,,
#,Pattern,Hook #,Hook Template (Hindi),Psychology,Best Platform
1,Profit Reveal,H1,इस किसान ने {crop} से ₹{n} लाख कमाए — कैसे? पूरा हिसाब देखो,Greed + aspiration — पैसे का सपना,YouTube+Reel
2,Profit Reveal,H2,1 एकड़ {crop} = ₹{n}? यकीन नहीं होगा लेकिन सच है,Greed + aspiration — पैसे का सपना,YouTube+Reel
3,Profit Reveal,H3,{crop} बेचकर इस किसान ने नई गाड़ी खरीदी — राज़ क्या है?,Greed + aspiration — पैसे का सपना,YouTube+Reel
4,Profit Reveal,H4,मंडी से दोगुना दाम — {crop} में यह तरीका कोई नहीं बताता,Greed + aspiration — पैसे का सपना,YouTube+Reel
5,Profit Reveal,H5,₹{n} extra हर quintal — {crop} किसान यह गलती मत करना,Greed + aspiration — पैसे का सपना,YouTube+Reel
6,Profit Reveal,H6,गाँव वाले हँसते थे — आज {crop} से सबसे ज़्यादा कमाता है,Greed + aspiration — पैसे का सपना,YouTube+Reel
7,Mandi Shock,H1,{crop} मंडी में ₹{n}/kg — AgroManch पर ₹{n2}! फर्क देखो 🔴🟢,Loss aversion + anger — शोषण का गुस्सा,Reels+WhatsApp
8,Mandi Shock,H2,रुको! {crop} मंडी ले जाने से पहले यह video देखो,Loss aversion + anger — शोषण का गुस्सा,Reels+WhatsApp
9,Mandi Shock,H3,मंडी में आपका {crop} ₹{n} में बिका — असली कीमत ₹{n2} थी,Loss aversion + anger — शोषण का गुस्सा,Reels+WhatsApp
10,Mandi Shock,H4,7 बिचौलिए आपके {crop} का मुनाफा खा रहे हैं — proof देखो,Loss aversion + anger — शोषण का गुस्सा,Reels+WhatsApp
11,Mandi Shock,H5,मंडी की पर्ची दिखाता हूँ — {crop} पर कितनी लूट हुई,Loss aversion + anger — शोषण का गुस्सा,Reels+WhatsApp
12,Mandi Shock,H6,{crop} का सही भाव क्या है? मंडी आपको कभी नहीं बताएगी,Loss aversion + anger — शोषण का गुस्सा,Reels+WhatsApp
13,Crop Emergency Alert,H1,🚨 {region} में {crop} पर रोग फैल रहा — 72 घंटे में यह करो,Fear + urgency — फसल बचाने का डर,Shorts+WhatsApp
14,Crop Emergency Alert,H2,आपकी {crop} की पत्तियाँ ऐसी हैं? तुरंत रुको और देखो,Fear + urgency — फसल बचाने का डर,Shorts+WhatsApp
15,Crop Emergency Alert,H3,एक हफ्ते में पूरी {crop} बर्बाद — यह कीट पहचानो,Fear + urgency — फसल बचाने का डर,Shorts+WhatsApp
16,Crop Emergency Alert,H4,🚨 {crop} किसान alert: यह लक्षण दिखे तो देर मत करना,Fear + urgency — फसल बचाने का डर,Shorts+WhatsApp
17,Crop Emergency Alert,H5,पड़ोसी की {crop} चौपट हो गई — आपकी कैसे बचेगी?,Fear + urgency — फसल बचाने का डर,Shorts+WhatsApp
18,Crop Emergency Alert,H6,{crop} में यह दाग = खतरे की घंटी। इलाज यहाँ देखो,Fear + urgency — फसल बचाने का डर,Shorts+WhatsApp
19,Farmer Success Story,H1,'पहले डर था online बेचने का — आज {crop} से खुशी है',Social proof + hope — 'मैं भी कर सकता हूं',Reels+IG
20,Farmer Success Story,H2,{region} के इस किसान की कहानी आपको रुला देगी,Social proof + hope — 'मैं भी कर सकता हूं',Reels+IG
21,Farmer Success Story,H3,कर्ज़ में डूबा किसान — {crop} ने ज़िंदगी बदल दी,Social proof + hope — 'मैं भी कर सकता हूं',Reels+IG
22,Farmer Success Story,H4,"मज़दूरी छोड़ी, {crop} अपनाई — आज लाखों कमाता है",Social proof + hope — 'मैं भी कर सकता हूं',Reels+IG
23,Farmer Success Story,H5,'मेरे पिता मंडी में लुटते थे — मैंने तरीका बदला',Social proof + hope — 'मैं भी कर सकता हूं',Reels+IG
24,Farmer Success Story,H6,500 किसानों ने यह किया — नतीजा देखकर चौंक जाओगे,Social proof + hope — 'मैं भी कर सकता हूं',Reels+IG
25,Machinery Pride,H1,यह मशीन {crop} की लागत आधी कर देती है 😮,Status + envy — आधुनिक किसान पहचान,Reels+IG
26,Machinery Pride,H2,₹{n} की यह मशीन 10 मज़दूरों का काम करती है,Status + envy — आधुनिक किसान पहचान,Reels+IG
27,Machinery Pride,H3,{crop} की कटाई अब 1 घंटे में — कैसे? देखो,Status + envy — आधुनिक किसान पहचान,Reels+IG
28,Machinery Pride,H4,पुराना तरीका भूल जाओ — {crop} के लिए यह मशीन,Status + envy — आधुनिक किसान पहचान,Reels+IG
29,Machinery Pride,H5,subsidy पर मिलती है यह मशीन — {crop} किसान ध्यान दो,Status + envy — आधुनिक किसान पहचान,Reels+IG
