Date,Day No.,Day of Week,Platform,Content Type,Content Title (Hindi),Viral Pattern,Pattern No.,Virality Score (1-10),Hook - First 3 Seconds (Hindi),Caption Template (Hindi),Hashtags (5 max),CTA (Hindi),Best Posting Time IST,Objective,Target Audience,Expected Engagement,Difficulty Level,Content Category,Production Notes
05-06-2026,1,Friday,YouTube,YouTube Long,"AgroManch क्या है? — किसान को मंडी से कैसे बचाता है (पूरी जानकारी)","Brand Introduction",0,8,"क्या आपको पता है मंडी में आपके पैसों का क्या होता है?","मंडी में किसान को उसकी मेहनत का सही दाम नहीं मिलता। 7 middlemen आपका मुनाफा खा जाते हैं। AgroManch ने इसका हल निकाला है — direct buyers, fair price, घर से बेचो। आज ही देखें कैसे काम करता है AgroManch।","#kisan #agromanch #indianfarmers #khetibadi #farming","AgroManch App download करो — link description में 👇","05:00 PM",Awareness,"All Farmers — New Audience",High,Low,Awareness,"Screen recording of app + farmer field footage; 8-12 min video"
05-06-2026,1,Friday,Instagram,Reel,"मंडी vs AgroManch — 60 सेकंड में देखो फर्क","Mandi Shock (Comparison)",2,9,"[Screen: मंडी slip ₹8/kg] — देखो इस किसान को क्या मिला","मंडी: ₹8/kg 🔴 | AgroManch: ₹13/kg 🟢 | फर्क: ₹5/kg | 10 quintal = ₹5000 extra 💰 | यह फर्क हर बार होता है। AgroManch पर join करो।","#kisan #farming #indianfarmers #agromanch #kheti","AgroManch App download — link bio में 👇","08:30 PM",Awareness,"Small & Marginal Farmers",Very High,Low,Awareness,"Real mandi slip prop needed; split screen edit"
06-06-2026,2,Saturday,Facebook,Video Post,"किसान राजेश की कहानी — AgroManch से पहली बार ₹3000 ज़्यादा मिले","Farmer Success Story",4,8,"'पहले डर था online बेचने का — आज मुझे खुशी है'","राजेश जी, UP के किसान। गेहूं की फसल थी। मंडी जाते तो ₹2100/quintal मिलते। AgroManch पर list किया — ₹2380/quintal मिले। 15 quintal × ₹280 = ₹4200 extra। यही है AgroManch का वादा।","#kisan #indianfarmers #farming #agromanch #kisanektazindabaad","अपने किसान दोस्त को tag करो 👇","09:30 AM",Awareness,"Rural Farmers 35-55 age",High,Medium,Awareness,"Field interview with real farmer; 2-3 min video"
07-06-2026,3,Sunday,Instagram,Reel,"मंडी में 5 घंटे बर्बाद — AgroManch में 5 मिनट","Old vs New Farming",14,8,"[Timer graphic] मंडी: 5 घंटे इंतज़ार... AgroManch: 5 मिनट listing","यह देखो: मंडी जाओ → 5 बजे सुबह निकलो → queue में खड़े रहो → कम दाम पर बेचो → थके हारे घर आओ 😔 OR: AgroManch App खोलो → photo लो → price देखो → 5 मिनट में listing → buyer contact → ज़्यादा पैसे 💚","#kisan #farming #kheti #agromanch #indianfarmers","Download करो — link bio में 👇","08:00 PM",Awareness,"Young Farmers 18-35",Very High,Low,Awareness,"Time-lapse style editing; before/after split screen"
07-06-2026,3,Sunday,Instagram,Story,"Poll: आप अभी कहाँ बेचते हैं अपनी फसल?","Community Trigger / Debate",19,7,"Poll story graphic — colorful design","[Poll] आप अभी कहाँ बेचते हैं? Option A: मंडी में | Option B: Middleman को | Option C: Direct buyer | Option D: AgroManch पर","#kisan #farming #agromanch #indianfarmers #kheti","Vote करो 👆 और result कल देखो!","07:00 PM",Community,"All Farmers",High,Low,Community,"Instagram Poll sticker; follow up next day with results"
08-06-2026,4,Monday,WhatsApp,Broadcast Message,"आज का AgroManch Tip: अपनी फसल list करने से पहले यह 3 काम करो","Jugaad / Hack",7,7,"💡 AgroManch Tip #1","💡 AgroManch Kisan Tip: फसल list करने से पहले — ✅ 1) साफ photo लो (सुबह की रोशनी में) ✅ 2) quantity सही बताओ ✅ 3) grade mention करो। बस इतना करो — 40% ज़्यादा buyers आएंगे। AgroManch App: [link]","N/A (WhatsApp)","App download करो","07:30 AM",Acquisition,"Active Farmers",High,Low,Acquisition,"Simple text message with image; daily series"
09-06-2026,5,Tuesday,YouTube,YouTube Long,"AgroManch पर पहली listing कैसे करें — Step by Step Complete Tutorial 2026","Tech for Farmers / Tutorial",16,8,"बिना किसी confusion के — 5 मिनट में AgroManch पर अपनी पहली listing करो","आज मैं आपको दिखाता हूं AgroManch पर पहली listing कैसे करते हैं। Registration से लेकर payment receive करने तक — हर step Hindi में। यह tutorial देखकर आज ही शुरू करो।","#kisan #agromanch #indianfarmers #farming #kisaan","Video like करो + subscribe 🔔 करो — हर हफ्ते नई jankari","05:00 PM",Acquisition,"New / First-time Digital Farmers",High,Low,Acquisition,"Screen recording tutorial; Hindi voiceover; 10-15 min"
09-06-2026,5,Tuesday,Instagram,Carousel,"मंडी chain में 7 middlemen — आपका ₹ कहाँ जाता है?","Mandi Shock / Outrage",2,9,"[Slide 1] किसान को ₹8 मिला। Consumer ने ₹35 दिए। बीच में क्या हुआ?","[Carousel: 8 slides] Slide 1: किसान को ₹8 | Slide 2-8: हर middleman का cut दिखाओ | Final: AgroManch से direct — किसान को ₹13+। Save करो और share करो।","#kisan #farming #indianfarmers #agromanch #khetibadi","Save करो 📌 + WhatsApp group में share करो 🙏","12:00 PM",Trust,"All Farmers + Urban Sympathizers",Very High,Medium,Trust,"Infographic design needed; data-driven; share trigger is outrage"
10-06-2026,6,Wednesday,Instagram,Engagement Post,"Comment में बताओ: आपकी सबसे बड़ी farming problem क्या है?","Community Trigger / Debate",19,7,"[Image: farmer looking worried at crop] — आपकी सबसे बड़ी problem?","किसान भाइयों — हम AgroManch पर काम करते हैं आपके लिए। लेकिन बताओ आप — आपकी सबसे बड़ी farming problem कौन सी है? 👇 Comment में लिखो — हम हर comment पढ़ते हैं और solution लाएंगे।","#kisan #farming #indianfarmers #kheti #krishi","Comment करो 👇 — आपका नाम हमारे अगले video में आ सकता है!","07:00 PM",Community,"All Farmer Segments",High,Low,Community,"Branded image; read all comments and reply; use insights for future content"
11-06-2026,7,Thursday,Instagram,Reel,"AgroManch download करो — यह 5 चीजें FREE मिलेंगी","Scheme Alert / Free Value",6,8,"रुको! AgroManch download करने से पहले यह देखो — 5 free चीजें मिलती हैं","✅ Free 1: Daily Mandi Price Alert 📊 | ✅ Free 2: Crop Expert Consultation 👨‍🌾 | ✅ Free 3: Weather Alert for your district 🌦️ | ✅ Free 4: Scheme Tracker — सभी schemes एक जगह 📋 | ✅ Free 5: Buyer Network — direct contact 🤝 | सब कुछ FREE. AgroManch App download करो।","#kisan #agromanch #farming #indianfarmers #kisaan","Download करो अभी — link bio में 👇","08:30 PM",App Download,"Young + Tech-savvy Farmers",Very High,Low,App Download,"Screen recording of 5 features; fast-paced edit"
