🎬  Reel Content Bank — 200 Ideas,,,,,,,,,,
200 production-ready ideas  |  Phase 2 + 3  |  हर row = ready to shoot/design,,,,,,,,,,
Content ID,Pillar,Pattern Used,Topic,Target Audience,Hook (First 3s),Farmer Pain Point,Solution,CTA,Expected Outcome,Virality /10
REEL-001,Awareness (जागरूकता),Profit Reveal,Profit Reveal: गेहूं (Reel),छोटे किसान,इस किसान ने गेहूं से ₹__ लाख कमाए — कैसे?,मंडी में कम भाव,"AgroManch पर गेहूं direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",AgroManch App download करो — link bio में 👇,App Download + Listing,10
REEL-002,Trust (भरोसा),Profit Reveal,Profit Reveal: धान (Reel),युवा किसान (18-35),इस किसान ने धान से ₹__ लाख कमाए — कैसे?,बिचौलियों की लूट,"AgroManch पर धान direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",अभी फसल list करो — पहली sale आज ही 📲,App Download + Listing,10
REEL-003,Education (शिक्षा),Profit Reveal,Profit Reveal: मक्का (Reel),महिला किसान,इस किसान ने मक्का से ₹__ लाख कमाए — कैसे?,payment में देरी,"AgroManch पर मक्का direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",WhatsApp group join करो — daily भाव alerts 🔔,App Download + Listing,10
REEL-004,Community (समुदाय),Profit Reveal,Profit Reveal: सोयाबीन (Reel),FPO सदस्य,इस किसान ने सोयाबीन से ₹__ लाख कमाए — कैसे?,फसल में रोग/कीट,"AgroManch पर सोयाबीन direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Save करो 📌 और किसान दोस्त को share करो 🙏,App Download + Listing,10
REEL-005,Marketplace (बाज़ार),Mandi Shock,Mandi Shock: कपास (Reel),प्रगतिशील किसान,कपास मंडी में ₹__/kg — AgroManch पर ₹__! फर्क देखो 🔴🟢,मौसम का नुकसान,"AgroManch पर कपास direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Comment करो — आपका जवाब video में आ सकता है 💬,App Download + Trust,10
REEL-006,Acquisition (अधिग्रहण),Mandi Shock,Mandi Shock: गन्ना (Reel),नए डिजिटल किसान,गन्ना मंडी में ₹__/kg — AgroManch पर ₹__! फर्क देखो 🔴🟢,भंडारण की समस्या,"AgroManch पर गन्ना direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Expert से free बात करो — App → Expert section 👨‍🌾,App Download + Trust,10
REEL-007,Retention (रिटेंशन),Mandi Shock,Mandi Shock: टमाटर (Reel),सब्ज़ी उत्पादक,टमाटर मंडी में ₹__/kg — AgroManch पर ₹__! फर्क देखो 🔴🟢,transport खर्च,"AgroManch पर टमाटर direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Tag करो उस किसान को जिसे यह मदद करेगा 👇,App Download + Trust,10
REEL-008,Brand (ब्रांड),Mandi Shock,Mandi Shock: प्याज (Reel),बागवानी किसान,प्याज मंडी में ₹__/kg — AgroManch पर ₹__! फर्क देखो 🔴🟢,quality grading,"AgroManch पर प्याज direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Schemes section में status check करो — App खोलो 📋,App Download + Trust,10
REEL-009,Awareness (जागरूकता),Crop Emergency Alert,Crop Emergency Alert: आलू (Reel),सीमांत किसान,🚨 कर्नाटक में आलू पर रोग — 72 घंटे में यह करो!,सही buyer नहीं मिलता,"AgroManch पर आलू direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",AgroManch App download करो — link bio में 👇,Retention + WhatsApp Growth,9
REEL-010,Trust (भरोसा),Crop Emergency Alert,Crop Emergency Alert: मिर्च (Reel),जोखिम-सतर्क किसान,🚨 पश्चिम बंगाल में मिर्च पर रोग — 72 घंटे में यह करो!,कर्ज़ का बोझ,"AgroManch पर मिर्च direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",अभी फसल list करो — पहली sale आज ही 📲,Retention + WhatsApp Growth,9
