🧠  Farmer Psychology Database — 9 Triggers,,,,,,
"हर content को इन triggers से map करो → hook तेज़ करो, conversion बढ़ाओ",,,,,,
Trigger,किसान की भावना,Best Patterns,Hook Style,Example Hook,Business Lever,Strength
Fear (डर),फसल/पैसा खोने का डर,"Crop Emergency, Weather",🚨 alert + तुरंत कार्रवाई,'🚨 72 घंटे में फसल खतरे में — अभी यह करो',Retention + WhatsApp,Very High
Profit (मुनाफा),ज़्यादा कमाने का सपना,"Profit Reveal, Calculator",बड़ा number पहले,'इस किसान ने 1 एकड़ से ₹__ लाख कमाए',App Download + Listing,Very High
Loss Avoidance,नुकसान से बचना,"Mandi Shock, Scheme Bomb",छूटते मौके का डर,'मंडी में ₹__ कम मिल रहे — रुको!',Registration + Trust,Very High
Social Proof,'दूसरे कर रहे तो सही',"Success Story, Field Interview",असली किसान + आँकड़ा,'500 किसानों ने AgroManch चुना — क्यों?',Trust + Registration,High
Local Identity,अपनी भाषा/क्षेत्र अपनापन,"Regional Language, Mahila Kisan",अपनी बोली में,'किसान भाई — आज भोजपुरी में बात',Reach + Retention,High
Authority,विशेषज्ञ पर भरोसा,"Myth Buster, Tutorial",तथ्य + विशेषज्ञ,'कृषि वैज्ञानिक बता रहे हैं सच',Brand Authority,Medium-High
Curiosity (जिज्ञासा),'यह क्या है?' जानने की चाह,"Hidden Crop, Jugaad",अधूरी जानकारी/राज़,'यह फसल ₹__/kg बिकती है — कोई नहीं उगाता क्यों?',Shareability + Reach,Very High
Urgency (तात्कालिकता),अभी कार्रवाई का दबाव,"Seasonal Countdown, Weather",समय-सीमा + countdown,'बुवाई में बस __ दिन बाकी!',Listing + Marketplace,High
Community (समुदाय),अपनेपन व आवाज़ की चाह,"Community Debate, Award",सवाल + भागीदारी,'सच बोलो — मंडी fair है? Vote 👇',Engagement + WhatsApp,High
🎯 RULE: हर post में कम से कम 1 trigger साफ़ हो। Tier-A days पर Fear/Profit/Loss/Curiosity stack करो — यही सबसे ज़्यादा viral + convert करते हैं।,,,,,,
