🏆  Phase 1 — Viral Pattern Prioritization,,,,,,,,,,,,
20 patterns scored across 7 dimensions → ranked → Tier A / B / C,,,,,,,,,,,,
Rank,Pattern (EN),Pattern (HI),Virality,Trust,Share,Relevance,Download,LeadGen,Marketplace,TOTAL /70,Tier,Psychology Trigger
1,Profit Reveal,मुनाफा खुलासा,10,8,9,10,9,9,10,65,Tier A,Greed + aspiration — पैसे का सपना
2,Mandi Shock,मंडी शॉक,10,7,10,10,9,8,10,64,Tier A,Loss aversion + anger — शोषण का गुस्सा
3,Crop Emergency Alert,फसल आपातकाल,9,9,10,10,8,9,6,61,Tier A,Fear + urgency — फसल बचाने का डर
4,Profit Calculator,मुनाफा कैलकुलेटर,9,8,8,10,8,9,9,61,Tier A,Logic + greed — सटीक कमाई का गणित
5,Regional Language,क्षेत्रीय भाषा,9,9,9,10,9,8,7,61,Tier A,Local identity — अपनी भाषा अपनापन
6,Farmer Success Story,किसान सफलता कहानी,9,10,8,10,8,8,7,60,Tier A,Social proof + hope — 'मैं भी कर सकता हूं'
7,Scheme Bomb,योजना बम,9,9,9,10,9,9,5,60,Tier A,Free money + FOMO — सरकारी लाभ छूट न जाए
8,Weather Emergency,मौसम आपातकाल,9,9,10,10,8,8,5,59,Tier A,Fear + urgency — मौसम से नुकसान
9,Hidden Crop,छुपी फसल,9,7,10,8,7,8,10,59,Tier A,Curiosity + opportunity — नई कमाई
10,Seasonal Countdown,मौसमी काउंटडाउन,8,8,9,10,8,8,8,59,Tier A,Urgency + timing — सही समय चूको मत
11,Mahila Kisan,महिला किसान,9,10,9,9,7,7,7,58,Tier A,Empowerment + pride — महिला सशक्तिकरण
12,Tech Tutorial,टेक ट्यूटोरियल,8,9,7,9,9,8,8,58,Tier A,"Mastery + ease — डर खत्म, सीखो"
13,Old vs New,पुराना बनाम नया,8,8,9,9,8,7,8,57,Tier B,Progress + identity — आधुनिक बनो
14,Before / After,पहले / बाद,8,8,9,9,7,7,8,56,Tier B,Transformation proof — बदलाव दिखता है
15,Jugaad Hack,जुगाड़ हैक,9,8,10,9,7,6,6,55,Tier B,Curiosity + thrift — सस्ता समाधान
16,Field Interview,खेत इंटरव्यू,8,10,7,9,6,7,7,54,Tier B,Authenticity — असली किसान की आवाज़
17,Community Debate,समुदाय बहस,9,7,10,9,6,7,6,54,Tier B,Belonging + opinion — आवाज़ रखो
18,Machinery Pride,मशीन गर्व,8,7,8,8,6,7,8,52,Tier B,Status + envy — आधुनिक किसान पहचान
19,Myth Buster,मिथक तोड़,8,9,8,9,6,6,5,51,Tier C,Authority + surprise — गलतफहमी दूर
20,Award / Recognition,सम्मान / पुरस्कार,8,9,8,8,6,6,6,51,Tier C,Recognition + loyalty — सम्मान की चाह
📌  TIER STRATEGY,,,,,,,,,,,,
Tier A (58-70),,"Daily drivers — 60% of content. Highest virality + business impact. Profit Reveal, Mandi Shock, Scheme Bomb, Crop Emergency, Success Story.",,,,,,,,,,
Tier B (52-57),,"Supporting mix — 30% of content. Strong but situational. Jugaad, Mahila Kisan, Weather, Calculator, Regional Language, Countdown.",,,,,,,,,,
Tier C (<52),,"Flavor / depth — 10% of content. Build authority & variety. Myth Buster, Machinery Pride, Award, Field Interview, Old vs New.",,,,,,,,,,
