📲  Story Content Bank — 100 Ideas,,,,,,,,,,
100 production-ready ideas  |  Phase 2 + 3  |  हर row = ready to shoot/design,,,,,,,,,,
Content ID,Pillar,Pattern Used,Topic,Target Audience,Hook (First 3s),Farmer Pain Point,Solution,CTA,Expected Outcome,Virality /10
STOR-001,Awareness (जागरूकता),Profit Reveal,Profit Reveal: गेहूं (Story),छोटे किसान,इस किसान ने गेहूं से ₹__ लाख कमाए — कैसे?,मंडी में कम भाव,"AgroManch पर गेहूं direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",AgroManch App download करो — link bio में 👇,App Download + Listing,10
STOR-002,Trust (भरोसा),Profit Reveal,Profit Reveal: धान (Story),युवा किसान (18-35),इस किसान ने धान से ₹__ लाख कमाए — कैसे?,बिचौलियों की लूट,"AgroManch पर धान direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",अभी फसल list करो — पहली sale आज ही 📲,App Download + Listing,10
STOR-003,Education (शिक्षा),Profit Reveal,Profit Reveal: मक्का (Story),महिला किसान,इस किसान ने मक्का से ₹__ लाख कमाए — कैसे?,payment में देरी,"AgroManch पर मक्का direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",WhatsApp group join करो — daily भाव alerts 🔔,App Download + Listing,10
STOR-004,Community (समुदाय),Profit Reveal,Profit Reveal: सोयाबीन (Story),FPO सदस्य,इस किसान ने सोयाबीन से ₹__ लाख कमाए — कैसे?,फसल में रोग/कीट,"AgroManch पर सोयाबीन direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Save करो 📌 और किसान दोस्त को share करो 🙏,App Download + Listing,10
STOR-005,Marketplace (बाज़ार),Mandi Shock,Mandi Shock: कपास (Story),प्रगतिशील किसान,कपास मंडी में ₹__/kg — AgroManch पर ₹__! फर्क देखो 🔴🟢,मौसम का नुकसान,"AgroManch पर कपास direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Comment करो — आपका जवाब video में आ सकता है 💬,App Download + Trust,10
STOR-006,Acquisition (अधिग्रहण),Mandi Shock,Mandi Shock: गन्ना (Story),नए डिजिटल किसान,गन्ना मंडी में ₹__/kg — AgroManch पर ₹__! फर्क देखो 🔴🟢,भंडारण की समस्या,"AgroManch पर गन्ना direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Expert से free बात करो — App → Expert section 👨‍🌾,App Download + Trust,10
STOR-007,Retention (रिटेंशन),Mandi Shock,Mandi Shock: टमाटर (Story),सब्ज़ी उत्पादक,टमाटर मंडी में ₹__/kg — AgroManch पर ₹__! फर्क देखो 🔴🟢,transport खर्च,"AgroManch पर टमाटर direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Tag करो उस किसान को जिसे यह मदद करेगा 👇,App Download + Trust,10
STOR-008,Brand (ब्रांड),Mandi Shock,Mandi Shock: प्याज (Story),बागवानी किसान,प्याज मंडी में ₹__/kg — AgroManch पर ₹__! फर्क देखो 🔴🟢,quality grading,"AgroManch पर प्याज direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Schemes section में status check करो — App खोलो 📋,App Download + Trust,10
STOR-009,Awareness (जागरूकता),Crop Emergency Alert,Crop Emergency Alert: आलू (Story),सीमांत किसान,🚨 कर्नाटक में आलू पर रोग — 72 घंटे में यह करो!,सही buyer नहीं मिलता,"AgroManch पर आलू direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",AgroManch App download करो — link bio में 👇,Retention + WhatsApp Growth,9
STOR-010,Trust (भरोसा),Crop Emergency Alert,Crop Emergency Alert: मिर्च (Story),जोखिम-सतर्क किसान,🚨 पश्चिम बंगाल में मिर्च पर रोग — 72 घंटे में यह करो!,कर्ज़ का बोझ,"AgroManch पर मिर्च direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",अभी फसल list करो — पहली sale आज ही 📲,Retention + WhatsApp Growth,9
STOR-011,Education (शिक्षा),Crop Emergency Alert,Crop Emergency Alert: सरसों (Story),छोटे किसान,🚨 UP में सरसों पर रोग — 72 घंटे में यह करो!,नकली बीज/खाद,"AgroManch पर सरसों direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",WhatsApp group join करो — daily भाव alerts 🔔,Retention + WhatsApp Growth,9
STOR-012,Community (समुदाय),Crop Emergency Alert,Crop Emergency Alert: चना (Story),युवा किसान (18-35),🚨 बिहार में चना पर रोग — 72 घंटे में यह करो!,पानी की कमी,"AgroManch पर चना direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Save करो 📌 और किसान दोस्त को share करो 🙏,Retention + WhatsApp Growth,9
STOR-013,Marketplace (बाज़ार),Farmer Success Story,Farmer Success Story: मूंग (Story),महिला किसान,'पहले डर था — आज मूंग से खुशी है' — असली कहानी,मजदूरों की कमी,"AgroManch पर मूंग direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Comment करो — आपका जवाब video में आ सकता है 💬,Trust + Registration,9
STOR-014,Acquisition (अधिग्रहण),Farmer Success Story,Farmer Success Story: बाजरा (Story),FPO सदस्य,'पहले डर था — आज बाजरा से खुशी है' — असली कहानी,सरकारी योजना की जानकारी नहीं,"AgroManch पर बाजरा direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Expert से free बात करो — App → Expert section 👨‍🌾,Trust + Registration,9
STOR-015,Retention (रिटेंशन),Farmer Success Story,Farmer Success Story: ज्वार (Story),प्रगतिशील किसान,'पहले डर था — आज ज्वार से खुशी है' — असली कहानी,बाज़ार भाव की जानकारी नहीं,"AgroManch पर ज्वार direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Tag करो उस किसान को जिसे यह मदद करेगा 👇,Trust + Registration,9
STOR-016,Brand (ब्रांड),Farmer Success Story,Farmer Success Story: हल्दी (Story),नए डिजिटल किसान,'पहले डर था — आज हल्दी से खुशी है' — असली कहानी,मंडी में कम भाव,"AgroManch पर हल्दी direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Schemes section में status check करो — App खोलो 📋,Trust + Registration,9
STOR-017,Awareness (जागरूकता),Machinery Pride,Machinery Pride: अदरक (Story),सब्ज़ी उत्पादक,यह मशीन अदरक की लागत आधी कर देती है 😮,बिचौलियों की लूट,"AgroManch पर अदरक direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",AgroManch App download करो — link bio में 👇,Marketplace + Brand,8
STOR-018,Trust (भरोसा),Machinery Pride,Machinery Pride: लहसुन (Story),बागवानी किसान,यह मशीन लहसुन की लागत आधी कर देती है 😮,payment में देरी,"AgroManch पर लहसुन direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",अभी फसल list करो — पहली sale आज ही 📲,Marketplace + Brand,8
STOR-019,Education (शिक्षा),Scheme Bomb,Scheme Bomb: केला (Story),सीमांत किसान,"🚨 NABARD योजना — किस्त आ रही है, status check करो!",फसल में रोग/कीट,"AgroManch पर केला direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",WhatsApp group join करो — daily भाव alerts 🔔,WhatsApp Growth + Registration,9
STOR-020,Community (समुदाय),Scheme Bomb,Scheme Bomb: अनार (Story),जोखिम-सतर्क किसान,"🚨 Kisan Drone Subsidy — किस्त आ रही है, status check करो!",मौसम का नुकसान,"AgroManch पर अनार direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Save करो 📌 और किसान दोस्त को share करो 🙏,WhatsApp Growth + Registration,9
STOR-021,Marketplace (बाज़ार),Scheme Bomb,Scheme Bomb: Dragon Fruit (Story),छोटे किसान,"🚨 PM-KISAN — किस्त आ रही है, status check करो!",भंडारण की समस्या,"AgroManch पर Dragon Fruit direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Comment करो — आपका जवाब video में आ सकता है 💬,WhatsApp Growth + Registration,9
STOR-022,Acquisition (अधिग्रहण),Scheme Bomb,Scheme Bomb: स्ट्रॉबेरी (Story),युवा किसान (18-35),"🚨 PMFBY फसल बीमा — किस्त आ रही है, status check करो!",transport खर्च,"AgroManch पर स्ट्रॉबेरी direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Expert से free बात करो — App → Expert section 👨‍🌾,WhatsApp Growth + Registration,9
STOR-023,Retention (रिटेंशन),Jugaad Hack,Jugaad Hack: मशरूम (Story),महिला किसान,₹200 में मशरूम का जुगाड़ — 90% किसान नहीं जानते,quality grading,"AgroManch पर मशरूम direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Tag करो उस किसान को जिसे यह मदद करेगा 👇,Shareability + Reach,9
STOR-024,Brand (ब्रांड),Jugaad Hack,Jugaad Hack: सब्ज़ी (Story),FPO सदस्य,₹200 में सब्ज़ी का जुगाड़ — 90% किसान नहीं जानते,सही buyer नहीं मिलता,"AgroManch पर सब्ज़ी direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",Schemes section में status check करो — App खोलो 📋,Shareability + Reach,9
STOR-025,Awareness (जागरूकता),Before / After,Before / After: भिंडी (Story),प्रगतिशील किसान,भिंडी खेत: पहले बनाम बाद — यकीन नहीं होगा,कर्ज़ का बोझ,"AgroManch पर भिंडी direct buyers को बेचो — fair price, 72hr payment, free expert. App → List → Sell. बिचौलिया खत्म, मुनाफा आपका।",AgroManch App download करो — link bio में 👇,Trust + Listing,8
